City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mogadishu,SO,80.28,overcast clouds,2.0371,45.3438,Hotel Juba
5,Grand Gaube,MU,79.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
18,Bubaque,GW,80.73,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
22,Sinnamary,GF,77.74,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
24,Saint-Philippe,RE,77.22,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Doha,QA,75.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
33,Mahajanga,MG,77.02,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
36,Esmeralda,CU,76.24,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
52,Georgetown,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
64,Kavaratti,IN,81.84,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
67,Sao Filipe,CV,76.05,few clouds,14.8961,-24.4956,Hotel Xaguate
70,Victoria,HK,76.03,overcast clouds,22.2855,114.1577,Mini Hotel Central
71,Am Timan,TD,76.8,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
85,Carnarvon,AU,83.16,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
94,Senador Jose Porfirio,BR,75.47,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
96,Caucaia,BR,82.35,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
106,Tabuk,PH,83.64,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
110,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
113,Saint-Joseph,RE,76.21,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
115,Sur,OM,75.97,clear sky,22.5667,59.5289,Sur Plaza Hotel
120,Bonthe,SL,76.1,light rain,7.5264,-12.505,Bonthe Holiday Village
134,Bengkulu,ID,83.3,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
135,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
137,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
138,Icatu,BR,81.03,clear sky,-2.7758,-44.0658,Hotel Guaxenduba
