city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,62.91,85,31,6.4,scattered clouds
1,Mogadishu,SO,2.0371,45.3438,80.28,75,96,11.74,overcast clouds
2,Arraial Do Cabo,BR,-22.9661,-42.0278,66.92,86,100,9.37,light rain
3,Tornio,FI,65.8481,24.1466,33.82,95,100,6.85,overcast clouds
4,Linhares,BR,-19.3911,-40.0722,67.84,97,100,7.0,overcast clouds
5,Grand Gaube,MU,-20.0064,57.6608,79.38,67,1,5.99,clear sky
6,Omboue,GA,-1.5746,9.2618,74.95,95,87,2.91,overcast clouds
7,Qeshm,IR,26.9581,56.2719,58.87,46,0,6.44,clear sky
8,Ushuaia,AR,-54.8,-68.3,51.46,43,20,10.36,few clouds
9,Kandalaksha,RU,67.162,32.4123,30.0,89,93,7.87,overcast clouds
10,Santa Cruz,BO,-17.8,-63.1667,71.89,75,99,7.7,overcast clouds
11,Callander,GB,56.2441,-4.2164,53.58,93,100,12.93,overcast clouds
12,Ribeira Grande,PT,38.5167,-28.7,69.03,87,61,23.0,broken clouds
13,Busselton,AU,-33.65,115.3333,65.05,43,100,6.76,overcast clouds
14,Saint George,US,37.1041,-113.5841,61.36,39,1,3.0,clear sky
15,Asosa,ET,10.0667,34.5333,60.49,84,89,5.12,light rain
16,Saint-Francois,FR,46.4154,3.9054,35.04,100,90,1.14,fog
17,Calbuco,CL,-41.768,-73.1273,51.01,80,98,9.66,overcast clouds
18,Bubaque,GW,11.2833,-15.8333,80.73,79,100,10.85,light rain
19,Bellavista,PE,-7.0561,-76.5911,72.68,99,100,0.81,overcast clouds
20,Pisco,PE,-13.7,-76.2167,63.01,88,0,10.36,clear sky
21,Salamiyah,SY,35.0113,37.0532,51.28,51,0,5.48,clear sky
22,Sinnamary,GF,5.3833,-52.95,77.74,89,82,6.53,broken clouds
23,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,4.61,clear sky
24,Saint-Philippe,RE,-21.3585,55.7679,77.22,68,0,8.72,clear sky
25,Kadipur,IN,26.1667,82.3833,72.16,53,74,1.66,broken clouds
26,Bredasdorp,ZA,-34.5322,20.0403,55.27,90,45,2.08,scattered clouds
27,Yelan-Kolenovskiy,RU,51.1632,41.151,33.64,46,100,13.94,overcast clouds
28,Zorritos,PE,-3.6805,-80.6782,70.11,76,68,4.99,broken clouds
29,La Sarre,CA,48.8002,-79.1996,36.59,52,100,15.1,overcast clouds
30,Musoma,TZ,-1.5,33.8,69.98,66,100,7.65,overcast clouds
31,Doha,QA,25.2867,51.5333,75.18,60,0,4.61,clear sky
32,Pangnirtung,CA,66.1451,-65.7125,2.34,95,99,4.38,overcast clouds
33,Mahajanga,MG,-15.7167,46.3167,77.02,100,40,0.0,scattered clouds
34,Luau,AO,-10.7073,22.2247,66.07,94,97,3.94,light rain
35,Codrington,AU,-38.2667,141.9667,55.96,85,100,22.44,light rain
36,Esmeralda,CU,21.8525,-78.1169,76.24,94,97,5.5,overcast clouds
37,Port Alfred,ZA,-33.5906,26.891,63.81,90,60,3.51,broken clouds
