City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Hawkesbury,CA,2021-11-08 03:56:29,45.6169,-61.3485,45.59,89,1,1.99
1,Port Elizabeth,ZA,2021-11-08 03:56:40,-33.918,25.5701,59.29,94,0,5.75
2,Ushuaia,AR,2021-11-08 03:55:31,-54.8,-68.3,40.66,81,40,5.75
3,Longyearbyen,SJ,2021-11-08 03:55:33,78.2186,15.6401,12.04,79,75,4.61
4,Kasamwa,TZ,2021-11-08 04:03:44,-2.85,32.4333,65.75,67,75,0.54
5,Mar Del Plata,AR,2021-11-08 03:55:26,-38.0023,-57.5575,57.87,87,0,5.99
6,Ormara,PK,2021-11-08 03:58:21,25.2088,64.6357,80.38,35,0,5.48
7,Saint-Philippe,RE,2021-11-08 03:56:10,-21.3585,55.7679,80.47,77,40,10.11
8,Walvis Bay,NA,2021-11-08 04:00:58,-22.9575,14.5053,53.1,86,4,10.38
9,Knysna,ZA,2021-11-08 04:03:45,-34.0363,23.0471,57.58,93,100,3.49
10,Khipro,PK,2021-11-08 04:03:46,25.8285,69.3772,83.89,18,2,6.02
11,Aswan,EG,2021-11-08 04:00:15,24.0934,32.907,74.08,34,0,8.25
12,Kharp,RU,2021-11-08 04:03:47,66.8014,65.8081,16.77,90,100,7.47
13,Mitu,CO,2021-11-08 04:03:47,1.1983,-70.1733,71.2,99,100,0.34
14,Bredasdorp,ZA,2021-11-08 03:56:41,-34.5322,20.0403,50.29,79,84,2.98
15,La Primavera,CO,2021-11-08 04:03:48,5.4906,-70.4092,77.7,79,100,4.88
16,Lasa,IT,2021-11-08 04:01:39,46.6166,10.7002,35.37,65,66,6.2
17,Los Llanos De Aridane,ES,2021-11-08 03:51:05,28.6585,-17.9182,64.15,64,75,5.01
18,Pangnirtung,CA,2021-11-08 03:56:42,66.1451,-65.7125,17.6,73,1,2.3
19,Punta Arenas,CL,2021-11-08 03:52:29,-53.15,-70.9167,44.71,70,40,16.11
20,Carnarvon,AU,2021-11-08 03:53:41,-24.8667,113.6333,71.67,56,73,12.66
21,Mauriti,BR,2021-11-08 04:03:50,-7.3892,-38.7744,79.2,58,99,2.62
22,Talnakh,RU,2021-11-08 03:58:23,69.4865,88.3972,16.63,96,100,7.38
23,Port Said,EG,2021-11-08 04:03:50,31.2565,32.2841,75.65,66,1,11.05
24,Bitkine,TD,2021-11-08 04:03:51,11.9801,18.2138,76.46,20,38,3.78
25,Narsaq,GL,2021-11-08 03:57:01,60.9167,-46.05,24.49,83,100,1.68
26,Sakakah,SA,2021-11-08 04:03:52,29.9697,40.2064,59.27,37,0,4.79
27,Brae,GB,2021-11-08 03:55:57,60.3964,-1.353,40.91,66,98,3.6
28,Hermanus,ZA,2021-11-08 03:55:25,-34.4187,19.2345,56.89,74,47,2.46
29,Cape Town,ZA,2021-11-08 03:53:39,-33.9258,18.4232,59.11,73,20,5.01
30,Tashtagol,RU,2021-11-08 04:03:53,52.7657,87.8894,33.49,65,87,2.3
31,Tasiilaq,GL,2021-11-08 03:55:49,65.6145,-37.6368,16.63,74,100,5.41
32,Eyl,SO,2021-11-08 04:01:11,7.9803,49.8164,77.38,70,20,11.16
33,Dakar,SN,2021-11-08 03:56:34,14.6937,-17.4441,78.93,78,0,16.11
34,Vyartsilya,RU,2021-11-08 04:03:54,62.1764,30.693,31.59,81,100,11.92
35,Makinsk,KZ,2021-11-08 04:03:55,52.6292,70.4169,23.61,46,89,17.29
